FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),IP Radio Bursts,Decametric Type II Burst Start Time (UT) (HH:MM),Decametric Type II Burst End Time (UT) (HH:MM),Decametric type II burst frequency range (MHz),Radio Comments
FLARE0000,,,GOES,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,X1.5,,81.0,24.0,,,1.0,,12838.0,2021-07-03 14:18:00,,2021-07-03 14:29:00,,2021-07-03 14:34:00,,2021-07-03 14:09:41,,2021-07-03 14:20:41,,2021-07-03 14:25:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210703.png,14:37,14:41,127-160,RSTN
FLARE0001,CME0001,,STIX,,2021-07-15 21:05:04,,2021-07-15 21:21:28,,2021-07-15 22:33:52,,M5,,,-165.0,-18.0,,0.857,,,2021-07-15 21:06:16,,2021-07-15 21:22:40,,2021-07-15 22:35:04,,2021-07-15 20:57:57,,2021-07-15 21:14:21,,2021-07-15 22:26:45,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20210715.png,,,,
FLARE0002,CME0006,,GOES/STIX,2021-10-28 15:17:00,2021-10-28 15:18:15,2021-10-28 15:35:00,2021-10-28 15:40:07,2021-10-28 15:48:00,2021-10-28 15:45:15,X1.0,M3,5.0,-26.0,5.0,-26.0,1.0,0.804,12887.0,2021-10-28 15:17:00,2021-10-28 15:19:53,2021-10-28 15:35:00,2021-10-28 15:41:45,2021-10-28 15:48:00,2021-10-28 15:46:53,2021-10-28 15:08:41,2021-10-28 15:11:34,2021-10-28 15:26:41,2021-10-28 15:33:26,2021-10-28 15:39:41,2021-10-28 15:38:34,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2021/crocs_flux_20211028.png,15:29,15:53,25-180,RSTN
FLARE0003,,,GOES,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,M5.5,,68.0,8.0,,,1.0,,12929.0,2022-01-20 05:41:00,,2022-01-20 06:01:00,,2022-01-20 06:12:00,,2022-01-20 05:32:41,,2022-01-20 05:52:41,,2022-01-20 06:03:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220120.png,05:57,06:13,61-180,RSTN
FLARE0004,,,STIX,,2022-01-25 10:23:56,,2022-01-25 10:27:16,,2022-01-25 11:06:24,,M7,,,-92.0,18.0,,0.895,,,2022-01-25 10:24:49,,2022-01-25 10:28:09,,2022-01-25 11:07:17,,2022-01-25 10:16:30,,2022-01-25 10:19:50,,2022-01-25 10:58:58,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220125.png,,,,
FLARE0005,,,GOES/STIX,2022-03-30 17:21:00,2022-03-30 17:18:15,2022-03-30 17:37:00,2022-03-30 17:30:16,2022-03-30 17:46:00,2022-03-30 18:46:12,X1.3,M9,39.0,13.0,31.0,13.0,1.0,0.335,12975.0,2022-03-30 17:21:00,2022-03-30 17:23:47,2022-03-30 17:37:00,2022-03-30 17:35:48,2022-03-30 17:46:00,2022-03-30 18:51:44,2022-03-30 17:12:41,2022-03-30 17:15:28,2022-03-30 17:28:41,2022-03-30 17:27:29,2022-03-30 17:37:41,2022-03-30 18:43:25,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220330.png,17:32,17:43,25-180,RSTN
FLARE0006,,,GOES/STIX,2022-03-31 18:17:00,2022-03-31 18:15:48,2022-03-31 18:35:00,2022-03-31 18:26:44,2022-03-31 18:45:00,2022-03-31 19:48:20,M9.6,M6,47.0,13.0,46.0,12.0,1.0,0.342,12975.0,2022-03-31 18:17:00,2022-03-31 18:21:17,2022-03-31 18:35:00,2022-03-31 18:32:13,2022-03-31 18:45:00,2022-03-31 19:53:49,2022-03-31 18:08:41,2022-03-31 18:12:58,2022-03-31 18:26:41,2022-03-31 18:23:54,2022-03-31 18:36:41,2022-03-31 19:45:30,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220331.png,18:34,18:47,25-180,RSTN
FLARE0007,,,GOES,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,X1.1,,-88.0,12.0,,,1.0,,12994.0,2022-04-17 03:17:00,,2022-04-17 03:34:00,,2022-04-17 03:51:00,,2022-04-17 03:08:41,,2022-04-17 03:25:41,,2022-04-17 03:42:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png,03:28,03:50,25-180,RSTN
FLARE0008,,,GOES/STIX,2022-04-17 22:28:00,2022-04-17 22:22:20,2022-04-17 22:34:00,2022-04-17 22:29:24,2022-04-17 22:40:00,2022-04-17 23:03:36,M4.4,M5,73.0,-31.0,63.0,-30.0,1.0,0.539,12992.0,2022-04-17 22:28:00,2022-04-17 22:26:11,2022-04-17 22:34:00,2022-04-17 22:33:15,2022-04-17 22:40:00,2022-04-17 23:07:27,2022-04-17 22:19:41,2022-04-17 22:17:52,2022-04-17 22:25:41,2022-04-17 22:24:56,2022-04-17 22:31:41,2022-04-17 22:59:08,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220417.png,22:34,22:41,25-180,RSTN
FLARE0009,,,STIX,,2022-04-19 20:35:24,,2022-04-19 20:44:00,,2022-04-19 22:04:56,,M5,,,97.0,-29.0,,0.563,,,2022-04-19 20:39:03,,2022-04-19 20:47:39,,2022-04-19 22:08:35,,2022-04-19 20:30:44,,2022-04-19 20:39:20,,2022-04-19 22:00:16,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220419.png,,,,
